Count of business_unit,Column Labels,,,,,,,,,,,,,,
Row Labels,20161201,20170101,20170201,20170301,20170401,20170501,20170601,20170701,20170801,20170901,20171001,20171101,20171201,(blank),Grand Total
BU105,6,999,,,,119,26,233,61,66,,1,,11,1522
BU122,408,5994,,,,229,641,1980,316,512,3,9,4,59,10155
BU123,6,10677,2,4,20,842,9,1826,293,625,83,48,2,560,14997
BU125,7,5544,,,,295,,1401,295,98,2,1,,29,7672
BU135,250,6431,,,,42,,1608,126,706,2050,690,1457,20,13380
BU217,25,20,,,,,16,,,,,,,8,69
BU220,26,554,,,,29,17,986,253,,,1,,10,1876
BU223,38,236,,,,55,13,228,57,,,,,24,651
BU344,1276,3340,1,,,700,,324,1080,1345,47,,,23,8136
Grand Total,2042,33795,3,4,20,2311,722,8586,2481,3352,2185,750,1463,744,58458
